folder,filename,dimensions,size_kb,source_url
01-brand-ui,about-image-bg-shape.svg,,0.4,https://www.texgengroup.com/images/about-image-bg-shape.svg
01-brand-ui,about-video-bg.jpg,960x484,54.6,https://www.texgengroup.com/images/about-video-bg.jpg
01-brand-ui,accent-arrow.svg,,0.2,https://www.texgengroup.com/images/accent-arrow.svg
01-brand-ui,arrow-white.svg,,0.2,https://www.texgengroup.com/images/arrow-white.svg
01-brand-ui,blockquote.svg,,0.9,https://www.texgengroup.com/images/blockquote.svg
01-brand-ui,company-experience-bg.png,1800x627,123.5,https://www.texgengroup.com/images/company-experience-bg.png
01-brand-ui,contact-now-circle.svg,,36.2,https://www.texgengroup.com/images/contact-now-circle.svg
01-brand-ui,dark-arrow.svg,,0.2,https://www.texgengroup.com/images/dark-arrow.svg
01-brand-ui,footer-bg-1.png,231x229,37.7,https://www.texgengroup.com/images/footer-bg-1.png
01-brand-ui,footer-bg-2.png,193x221,31.7,https://www.texgengroup.com/images/footer-bg-2.png
01-brand-ui,hero-bg-2.jpg,1920x1281,118.3,https://www.texgengroup.com/images/hero-bg-2.jpg
01-brand-ui,hero-bg.jpg,1920x1281,111.2,https://www.texgengroup.com/images/hero-bg.jpg
01-brand-ui,icon-blockquote.svg,,1.2,https://www.texgengroup.com/images/icon-blockquote.svg
01-brand-ui,icon-company-experience.svg,,4.4,https://www.texgengroup.com/images/icon-company-experience.svg
01-brand-ui,icon-plus.svg,,0.6,https://www.texgengroup.com/images/icon-plus.svg
01-brand-ui,icon-services-1.svg,,1.5,https://www.texgengroup.com/images/icon-services-1.svg
01-brand-ui,icon-services-2.svg,,1.9,https://www.texgengroup.com/images/icon-services-2.svg
01-brand-ui,icon-services-3.svg,,1.4,https://www.texgengroup.com/images/icon-services-3.svg
01-brand-ui,icon-services-4.svg,,1.0,https://www.texgengroup.com/images/icon-services-4.svg
01-brand-ui,icon-services-5.svg,,1.3,https://www.texgengroup.com/images/icon-services-5.svg
01-brand-ui,icon-services-6.svg,,1.5,https://www.texgengroup.com/images/icon-services-6.svg
01-brand-ui,icon-sub-heading.svg,,0.3,https://www.texgengroup.com/images/icon-sub-heading.svg
01-brand-ui,loader.svg,,37.9,https://www.texgengroup.com/images/loader.svg
01-brand-ui,logo.svg,,17.6,https://www.texgengroup.com/images/logo.svg
01-brand-ui,logo1.svg,,12.0,https://www.texgengroup.com/images/logo1.svg
01-brand-ui,page-header-bg.jpg,1920x768,404.7,https://www.texgengroup.com/images/page-header-bg.jpg
01-brand-ui,service-bg-circle.svg,,0.4,https://www.texgengroup.com/images/service-bg-circle.svg
01-brand-ui,testimonial-bg.png,344x398,31.8,https://www.texgengroup.com/images/testimonial-bg.png
02-about,about-us-img-1.jpg,473x596,57.7,https://www.texgengroup.com/images/about-us-img-1.jpg
02-about,about-us-img-11.jpg,473x596,52.8,https://www.texgengroup.com/images/about-us-img-11.jpg
02-about,about-us-img-2.jpg,235x244,38.4,https://www.texgengroup.com/images/about-us-img-2.jpg
02-about,about-us-img-22.jpg,235x244,32.7,https://www.texgengroup.com/images/about-us-img-22.jpg
02-about,company-growth-img.jpg,524x403,58.5,https://www.texgengroup.com/images/company-growth-img.jpg
02-about,company-logo-1.png,704x167,16.8,https://www.texgengroup.com/images/company-logo-1.png
02-about,company-logo-2.png,704x167,11.2,https://www.texgengroup.com/images/company-logo-2.png
02-about,company-logo-3.png,704x167,22.6,https://www.texgengroup.com/images/company-logo-3.png
02-about,company-logo-4.png,704x167,11.1,https://www.texgengroup.com/images/company-logo-4.png
02-about,company-logo-5.png,704x167,34.8,https://www.texgengroup.com/images/company-logo-5.png
02-about,company-logo-6.png,704x167,11.0,https://www.texgengroup.com/images/company-logo-6.png
02-about,company-logo-7.png,704x167,14.5,https://www.texgengroup.com/images/company-logo-7.png
02-about,mission-vission.jpg,800x800,44.1,https://www.texgengroup.com/images/mission-vission.jpg
03-certifications,expertise-image-1.jpg,207x181,10.6,https://www.texgengroup.com/images/expertise-image-1.jpg
03-certifications,expertise-image-11.jpg,130x164,11.4,https://www.texgengroup.com/images/expertise-image-11.jpg
03-certifications,expertise-image-2.jpg,171x166,10.2,https://www.texgengroup.com/images/expertise-image-2.jpg
03-certifications,expertise-image-3.jpg,428x408,55.1,https://www.texgengroup.com/images/expertise-image-3.jpg
03-certifications,expertise-image-4.jpg,254x107,8.2,https://www.texgengroup.com/images/expertise-image-4.jpg
03-certifications,expertise-image-5.jpg,134x117,9.2,https://www.texgengroup.com/images/expertise-image-5.jpg
03-certifications,expertise-image-6.jpg,193x174,8.0,https://www.texgengroup.com/images/expertise-image-6.jpg
03-certifications,expertise-image-7.jpg,820x820,69.1,https://www.texgengroup.com/images/expertise-image-7.jpg
03-certifications,expertise-image-8.jpg,795x610,258.1,https://www.texgengroup.com/images/expertise-image-8.jpg
03-certifications,expertise-image-9.jpg,468x197,18.1,https://www.texgengroup.com/images/expertise-image-9.jpg
04-management,management23-01.png,1667x1667,315.9,https://www.texgengroup.com/images/management23-01.png
05-factory,Finishing1.jpg,4032x3024,3040.1,https://www.texgengroup.com/images/Finishing1.jpg
05-factory,Finishing2.jpg,4032x3024,2900.6,https://www.texgengroup.com/images/Finishing2.jpg
05-factory,Finishing3.jpg,4032x3024,2718.9,https://www.texgengroup.com/images/Finishing3.jpg
05-factory,Sample1.jpg,800x601,56.9,https://www.texgengroup.com/images/Sample1.jpg
05-factory,Sample2.jpg,800x601,84.6,https://www.texgengroup.com/images/Sample2.jpg
05-factory,Sample3.jpg,800x601,75.4,https://www.texgengroup.com/images/Sample3.jpg
05-factory,Sewing1.jpg,800x600,74.3,https://www.texgengroup.com/images/Sewing1.jpg
05-factory,Sewing2.jpg,800x600,80.2,https://www.texgengroup.com/images/Sewing2.jpg
05-factory,Sewing3.jpg,800x600,102.6,https://www.texgengroup.com/images/Sewing3.jpg
05-factory,TestingLab1.jpg,800x600,64.8,https://www.texgengroup.com/images/TestingLab1.jpg
05-factory,TestingLab2.jpg,800x600,51.1,https://www.texgengroup.com/images/TestingLab2.jpg
05-factory,TestingLab3.jpg,800x600,56.2,https://www.texgengroup.com/images/TestingLab3.jpg
05-factory,cutting1.jpg,800x601,70.1,https://www.texgengroup.com/images/cutting1.jpg
05-factory,cutting2.jpg,800x601,74.4,https://www.texgengroup.com/images/cutting2.jpg
05-factory,cutting3.jpg,800x601,68.7,https://www.texgengroup.com/images/cutting3.jpg
05-factory,kn1.jpg,1066x800,81.9,https://www.texgengroup.com/images/kn1.jpg
05-factory,kn2.jpg,1066x800,89.4,https://www.texgengroup.com/images/kn2.jpg
05-factory,kn3.jpg,1066x800,82.3,https://www.texgengroup.com/images/kn3.jpg
05-factory,store1.jpg,800x601,46.4,https://www.texgengroup.com/images/store1.jpg
05-factory,store2.jpg,800x601,65.0,https://www.texgengroup.com/images/store2.jpg
05-factory,store3.jpg,800x601,82.0,https://www.texgengroup.com/images/store3.jpg
06-products,baby3.jpg,1200x800,156.1,https://www.texgengroup.com/images/baby3.jpg
06-products,baby4.jpg,1200x800,156.1,https://www.texgengroup.com/images/baby4.jpg
06-products,baby5.jpg,1200x800,93.8,https://www.texgengroup.com/images/baby5.jpg
06-products,baby6.jpg,1200x800,94.0,https://www.texgengroup.com/images/baby6.jpg
06-products,baby7.jpg,1200x800,138.5,https://www.texgengroup.com/images/baby7.jpg
06-products,kids1.jpg,1200x800,124.3,https://www.texgengroup.com/images/kids1.jpg
06-products,kids2.jpg,1200x800,107.3,https://www.texgengroup.com/images/kids2.jpg
06-products,kids3.jpg,1200x800,69.7,https://www.texgengroup.com/images/kids3.jpg
06-products,kids4.jpg,1200x800,75.9,https://www.texgengroup.com/images/kids4.jpg
06-products,kids5.jpg,1200x800,97.2,https://www.texgengroup.com/images/kids5.jpg
06-products,kids6.jpg,1200x800,88.5,https://www.texgengroup.com/images/kids6.jpg
06-products,ladies1.jpg,1200x800,52.5,https://www.texgengroup.com/images/ladies1.jpg
06-products,ladies2.jpg,1200x800,94.8,https://www.texgengroup.com/images/ladies2.jpg
06-products,ladies3.jpg,1200x800,83.1,https://www.texgengroup.com/images/ladies3.jpg
06-products,ladies4.jpg,1200x800,81.0,https://www.texgengroup.com/images/ladies4.jpg
06-products,ladies5.jpg,1200x800,103.5,https://www.texgengroup.com/images/ladies5.jpg
06-products,ladies6.jpg,1200x800,77.6,https://www.texgengroup.com/images/ladies6.jpg
06-products,men1.jpg,1200x800,68.4,https://www.texgengroup.com/images/men1.jpg
06-products,men2.jpg,1200x800,59.6,https://www.texgengroup.com/images/men2.jpg
06-products,men3.jpg,1200x800,86.7,https://www.texgengroup.com/images/men3.jpg
06-products,men4.jpg,1200x800,78.5,https://www.texgengroup.com/images/men4.jpg
06-products,men5.jpg,1200x800,93.5,https://www.texgengroup.com/images/men5.jpg
